File is openned: 1970-01-01 02:00:10
1970-01-01 02:00:11: {'Acceleration': '(0.0, 0.0, 0.0)', 'Roll': '3.484147', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.19197'}
1970-01-01 02:00:12: {'Acceleration': '(-0.05859375, -0.3018799, 0.9688721)', 'Roll': '3.460819', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.27624'}
1970-01-01 02:00:13: {'Acceleration': '(-0.05908203, -0.2988281, 0.9624023)', 'Roll': '3.476786', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.21982'}
1970-01-01 02:00:14: {'Acceleration': '(-0.06079102, -0.2973633, 0.9718018)', 'Roll': '3.579471', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '17.13297'}
1970-01-01 02:00:15: {'Acceleration': '(-0.06005859, -0.2991943, 0.9691162)', 'Roll': '3.54623', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.12605'}
1970-01-01 02:00:16: {'Acceleration': '(-0.04760742, -0.302124, 0.9602051)', 'Roll': '3.024217', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '17.16229'}
1970-01-01 02:00:18: {'Acceleration': '(-0.0501709, -0.2966309, 0.9660645)', 'Roll': '2.972887', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '17.04751'}
1970-01-01 02:00:19: {'Acceleration': '(-0.05151367, -0.2995605, 0.9716797)', 'Roll': '3.034699', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.11146'}
1970-01-01 02:00:20: {'Acceleration': '(-0.04699707, -0.2994385, 0.9663086)', 'Roll': '2.784425', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '16.95909'}
1970-01-01 02:00:21: {'Acceleration': '(-0.04846191, -0.2982178, 0.9676514)', 'Roll': '2.867091', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.10844'}
1970-01-01 02:00:22: {'Acceleration': '(-0.04650879, -0.2993164, 0.9746094)', 'Roll': '2.96834', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.05089'}
1970-01-01 02:00:23: {'Acceleration': '(-0.04699707, -0.2988281, 0.9676514)', 'Roll': '2.780567', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '16.96672'}
1970-01-01 02:00:24: {'Acceleration': '(-0.05065918, -0.2961426, 0.9671631)', 'Roll': '2.998364', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.13716'}
1970-01-01 02:00:25: {'Acceleration': '(-0.04931641, -0.2993164, 0.9676514)', 'Roll': '2.917558', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '17.03245'}
1970-01-01 02:00:26: {'Acceleration': '(-0.05249023, -0.2976074, 0.9647217)', 'Roll': '2.883015', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.12407'}
1970-01-01 02:00:27: {'Acceleration': '(-0.04956055, -0.2972412, 0.9686279)', 'Roll': '2.929025', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '17.39325'}
1970-01-01 02:00:28: {'Acceleration': '(-0.04760742, -0.3016357, 0.9672852)', 'Roll': '2.817685', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.0649'}
1970-01-01 02:00:29: {'Acceleration': '(-0.0456543, -0.2972412, 0.9697266)', 'Roll': '2.695469', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.02362'}
1970-01-01 02:00:31: {'Acceleration': '(-0.04772949, -0.2987061, 0.9667969)', 'Roll': '2.865991', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '17.17892'}
1970-01-01 02:00:32: {'Acceleration': '(-0.04870605, -0.2971191, 0.9659424)', 'Roll': '2.8866', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.07721'}
1970-01-01 02:00:33: {'Acceleration': '(-0.04797363, -0.300293, 0.9678955)', 'Roll': '2.837537', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.166'}
1970-01-01 02:00:34: {'Acceleration': '(-0.04711914, -0.2977295, 0.9655762)', 'Roll': '2.929226', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '16.96734'}
1970-01-01 02:00:35: {'Acceleration': '(-0.04821777, -0.2969971, 0.9672852)', 'Roll': '2.85375', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '17.26404'}
1970-01-01 02:00:36: {'Acceleration': '(-0.04577637, -0.3035889, 0.9608154)', 'Roll': '2.727694', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.51632'}
1970-01-01 02:00:37: {'Acceleration': '(-0.04748535, -0.2988281, 0.9674072)', 'Roll': '2.810118', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.08075'}
1970-01-01 02:00:38: {'Acceleration': '(-0.04528809, -0.2976074, 0.9676514)', 'Roll': '2.679605', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.07801'}
1970-01-01 02:00:39: {'Acceleration': '(-0.04772949, -0.2967529, 0.9715576)', 'Roll': '2.855566', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.25533'}
1970-01-01 02:00:40: {'Acceleration': '(-0.0489502, -0.3000488, 0.9685059)', 'Roll': '2.89666', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '17.00878'}
1970-01-01 02:00:41: {'Acceleration': '(-0.04638672, -0.2983398, 0.9678955)', 'Roll': '2.74382', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.11267'}
1970-01-01 02:00:42: {'Acceleration': '(-0.04589844, -0.2973633, 0.9666748)', 'Roll': '2.776153', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.07976'}
1970-01-01 02:00:44: {'Acceleration': '(-0.04528809, -0.2990723, 0.9698486)', 'Roll': '2.630367', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '16.96974'}
1970-01-01 02:00:45: {'Acceleration': '(-0.04846191, -0.2971191, 0.9655762)', 'Roll': '2.873243', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.19456'}
1970-01-01 02:00:46: {'Acceleration': '(-0.04602051, -0.300293, 0.9680176)', 'Roll': '2.721848', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '17.2928'}
1970-01-01 02:00:47: {'Acceleration': '(-0.05126953, -0.2947998, 0.9654541)', 'Roll': '3.039783', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '16.95744'}
1970-01-01 02:00:48: {'Acceleration': '(-0.04553223, -0.296875, 0.9683838)', 'Roll': '2.691995', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.02612'}
1970-01-01 02:00:49: {'Acceleration': '(-0.04174805, -0.3000488, 0.9647217)', 'Roll': '2.477912', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.2616'}
1970-01-01 02:00:50: {'Acceleration': '(-0.04455566, -0.3001709, 0.9510498)', 'Roll': '2.682284', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '17.49875'}
1970-01-01 02:00:51: {'Acceleration': '(-0.04418945, -0.2967529, 0.9677734)', 'Roll': '2.354681', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.0338'}
1970-01-01 02:00:52: {'Acceleration': '(-0.04455566, -0.2994385, 0.9602051)', 'Roll': '2.656747', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '17.3025'}
1970-01-01 02:00:53: {'Acceleration': '(-0.05358887, -0.2972412, 0.9705811)', 'Roll': '3.160273', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '17.00285'}
1970-01-01 02:00:54: {'Acceleration': '(-0.04467773, -0.3015137, 0.9609375)', 'Roll': '2.661987', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.40265'}
1970-01-01 02:00:55: {'Acceleration': '(-0.04516602, -0.2996826, 0.9787598)', 'Roll': '2.948648', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '16.79355'}
1970-01-01 02:00:57: {'Acceleration': '(-0.04626465, -0.2965088, 0.9664307)', 'Roll': '2.740752', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '16.53505'}
1970-01-01 02:00:58: {'Acceleration': '(-0.04626465, -0.2974854, 0.9688721)', 'Roll': '2.733856', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.03206'}
1970-01-01 02:00:59: {'Acceleration': '(-0.04626465, -0.2993164, 0.9567871)', 'Roll': '2.74201', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.07017'}
1970-01-01 02:01:00: {'Acceleration': '(-0.04516602, -0.3017578, 0.9683838)', 'Roll': '2.670375', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '16.95292'}
1970-01-01 02:01:01: {'Acceleration': '(-0.04418945, -0.2976074, 0.9718018)', 'Roll': '2.603542', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.01028'}
1970-01-01 02:01:02: {'Acceleration': '(-0.04577637, -0.2978516, 0.9680176)', 'Roll': '2.70743', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.18697'}
1970-01-01 02:01:03: {'Acceleration': '(-0.0447998, -0.300293, 0.9671631)', 'Roll': '2.652092', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '17.23158'}
1970-01-01 02:01:04: {'Acceleration': '(-0.04675293, -0.3012695, 0.9689941)', 'Roll': '2.772657', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '17.11228'}
1970-01-01 02:01:05: {'Acceleration': '(-0.0447998, -0.296875, 0.9671631)', 'Roll': '2.652092', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.25344'}
1970-01-01 02:01:06: {'Acceleration': '(-0.04626465, -0.300415, 0.9688721)', 'Roll': '2.733856', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.20848'}
1970-01-01 02:01:07: {'Acceleration': '(-0.0447998, -0.3007813, 0.9702148)', 'Roll': '2.653096', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.16789'}
1970-01-01 02:01:09: {'Acceleration': '(-0.03930664, -0.2976074, 0.9709473)', 'Roll': '2.318226', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '17.02782'}
1970-01-01 02:01:10: {'Acceleration': '(-0.05114746, -0.296875, 0.9620361)', 'Roll': '3.043313', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.12695'}
1970-01-01 02:01:11: {'Acceleration': '(-0.04382324, -0.2977295, 0.9699707)', 'Roll': '2.598291', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '17.24933'}
1970-01-01 02:01:12: {'Acceleration': '(-0.04370117, -0.3015137, 0.9678955)', 'Roll': '2.585189', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.16634'}
1970-01-01 02:01:13: {'Acceleration': '(-0.04333496, -0.2956543, 0.9663086)', 'Roll': '2.567759', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '17.24611'}
1970-01-01 02:01:14: {'Acceleration': '(-0.0435791, -0.3013916, 0.9696045)', 'Roll': '2.57344', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.25094'}
1970-01-01 02:01:15: {'Acceleration': '(-0.04663086, -0.2974854, 0.96875)', 'Roll': '2.75581', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '16.94778'}
1970-01-01 02:01:16: {'Acceleration': '(-0.04345703, -0.2980957, 0.96521)', 'Roll': '2.577909', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '17.14644'}
1970-01-01 02:01:17: {'Acceleration': '(-0.04406738, -0.295166, 0.96875)', 'Roll': '2.604527', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '16.92882'}
1970-01-01 02:01:18: {'Acceleration': '(-0.0456543, -0.3005371, 0.9666748)', 'Roll': '2.703966', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '17.36544'}
1970-01-01 02:01:19: {'Acceleration': '(-0.04541016, -0.2976074, 0.9689941)', 'Roll': '2.6831', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.05568'}
1970-01-01 02:01:20: {'Acceleration': '(-0.0435791, -0.296875, 0.9624023)', 'Roll': '2.592672', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '17.12705'}
1970-01-01 02:01:22: {'Acceleration': '(-0.04602051, -0.2971191, 0.9642334)', 'Roll': '2.732514', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '16.99545'}
1970-01-01 02:01:23: {'Acceleration': '(-0.04296875, -0.2996826, 0.9694824)', 'Roll': '2.458558', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '17.09651'}
1970-01-01 02:01:24: {'Acceleration': '(-0.04284668, -0.2979736, 0.9694824)', 'Roll': '2.530564', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '17.00065'}
1970-01-01 02:01:25: {'Acceleration': '(-0.04382324, -0.2954102, 0.9726563)', 'Roll': '2.579729', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '16.87817'}
